Name,HOCO,LUCO,Indirect Gap,EA/eV,Conductivity (20%),Log(20%),Conductivity (Max),Log(Max),SMILES
DDNDT,-5.42,-4.54,0.88,3.33,0.001,-3,0.0089,-2.050609993,CN1C(=O)C=c2ccc3c4c(ccc3c21)=C(C1=c2ccc3c5c(ccc3c2OC1=O)=CC(=O)O5)C(=O)N4C
f-BSeI2-FT,-5.69,-3.85,1.84,2.19,0.1,-1,0.16,-0.795880017,Cn1c(=O)c2cc[se]c2c2sc3c(sc4c5[se]c(-c6scc(F)c6F)cc5c(=O)n(C)c(=O)c34)c2c1=O
f-BSeI2TEG-FT,-5.63,-3.78,1.84,2.2,87.5,1.942008053,12,1.079181246,COCC(COC)n1c(=O)c2cc[se]c2c2sc3c(sc4c5[se]c(-c6scc(F)c6F)cc5c(=O)n(C(COC)COC)c(=O)c34)c2c1=O
f-BTI2-FT,-5.77,-3.78,1.99,2.12,0.18,-0.744727495,1.4,0.146128036,Cn1c(=O)c2ccsc2c2sc3c(sc4c5sc(-c6scc(F)c6F)cc5c(=O)n(C)c(=O)c43)c2c1=O
f-BTI2TEG-FT,-5.69,-3.72,1.97,2.13,0.08,-1.096910013,1.4,0.146128036,COCC(COC)n1c(=O)c2ccsc2c2sc3c(sc4c5sc(-c6scc(F)c6F)cc5c(=O)n(C(COC)COC)c(=O)c43)c2c1=O
FBDPPV,-5.72,-4.54,1.18,2.9,0.075,-1.124938737,14,1.146128036,C=C[C]1C=C[C]2C(=C1F)N(C)C(=O)/C2=C1\[C]2C=C3OC(=O)/C(=C4/C(=O)N(C)c5c(F)cccc54)[C]3C=C2OC1=O
LPPV,-5.73,-4.84,0.9,2.63,0.88,-0.055517328,0.9,-0.045757491,C=C1[C]2C=C3OC(=O)/C(=C4/C(=O)N(C)c5cc6c(cc54)N(C)C(=O)C6=C)[C]3C=C2OC1=O
N-N,-5.02,-4.2,0.82,2.44,0.63,-0.200659451,0.65,-0.187086643,C=C1[C]2C=C[C]3C(=C2N(C)C1=O)C=CC1=C3N(C)C(=O)/C1=C1\[C]2C=C[C]3C(=C2N(C)C1=O)C=CC1=C3N(C)C(=O)C1=C
n-PT2,-5.94,-4.19,1.75,2.33,143,2.155336037,143,2.155336037,CN1C(=O)c2csc(-c3sc(-c4cc(C#N)c(-c5sccc5C#N)s4)c4c3C(=O)N(C)C4=O)c2C1=O
n-PT4,-5.96,-4.22,1.75,2.35,75,1.875061263,133.3,2.124830149,COCCN1C(=O)c2csc(-c3sc(-c4cc(C#N)c(-c5sccc5C#N)s4)c4c3C(=O)N(CCOC)C4=O)c2C1=O
N2200,-5.46,-4.12,1.34,2.44,0.0001,-4,0.0012,-2.920818754,CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(C)C3=O
N2200-P2G,-6.28,-4.3,1.98,2.32,0.002,-2.698970004,0.002,-2.698970004,C=Cc1cc2c3c(ccc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O
N2200-P3G,-6.34,-4.61,1.72,2.41,0.00045,-3.346787486,0.0005,-3.301029996,C#Cc1cc2c3c(ccc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O
P-0,-5.44,-4.55,0.89,4.08,0.002,-2.698970004,0.002,-2.698970004,COCCN1C(=O)C(C2=c3ccc4c5c(ccc4c3OC2=O)=CC(=O)O5)=c2ccc3c4c(ccc3c21)=C(C1=c2ccc3c5c(ccc3c2OC1=O)=C(C1=c2ccc3c6c(ccc3c2N(C)C1=O)=CC(=O)N6C)C(=O)O5)C(=O)N4CCOC
P-50,-5.57,-4.76,0.81,3.99,0.035,-1.455931956,0.29,-0.537602002,COCCN1C(=O)/C(=C2\[C]3C=C4OC(=O)[CH][C]4C=C3OC2=O)c2ccc3c4c(ccc3c21)/C(=C1/[C]2C=C3OC(=O)/C(=C5\[C]6C=Cc7c8c(ccc7=C6N(C)C5=O)=CC(=O)N8C)[C]3C=C2OC1=O)C(=O)N4CCOC
